match,overlap
'NC_007951.1 Burkholderia xenovorans LB400 chromosome 1, complete sequence',81
'NC_003272.1 Nostoc sp. PCC 7120 DNA, complete genome',73
'BX119912.1 Rhodopirellula baltica SH 1 complete genome',65
'NC_009972.1 Herpetosiphon aurantiacus DSM 785, complete genome',62
'CP000850.1 Salinispora arenicola CNS-205, complete genome',57
'AE015928.1 Bacteroides thetaiotaomicron VPI-5482, complete genome',56
'NZ_JGWU01000001.1 Bordetella bronchiseptica D989 ctg7180000008197, whole genome shotgun sequence',55
'CP000909.1 Chloroflexus aurantiacus J-10-fl, complete genome',53
'CP000667.1 Salinispora tropica CNB-440, complete genome',48
'CP000139.1 Bacteroides vulgatus ATCC 8482, complete genome',48
'AE010299.1 Methanosarcina acetivorans str. C2A, complete genome',48
'CP001013.1 Leptothrix cholodnii SP-6, complete genome',45
'NC_011663.1 Shewanella baltica OS223, complete genome',44
'CP001472.1 Acidobacterium capsulatum ATCC 51196, complete genome',42
'AP009153.1 Gemmatimonas aurantiaca T-27 DNA, complete genome',42
'CP000568.1 Clostridium thermocellum ATCC 27405, complete genome',41
'NZ_CH959317.1 Sulfitobacter sp. NAS-14.1 scf_1099451320472, whole genome shotgun sequence',39
'NC_013968.1 Haloferax volcanii DS2 plasmid pHV1, complete sequence',38
'NZ_DS996397.1 Desulfovibrio piger ATCC 29098 Scfld442, whole genome shotgun sequence',36
'AE017226.1 Treponema denticola ATCC 35405, complete genome',35
'AE009950.1 Pyrococcus furiosus DSM 3638, complete genome',34
'NC_003911.12 Ruegeria pomeroyi DSS-3, complete genome',33
'AE017180.2 Geobacter sulfurreducens PCA, complete genome',33
'CP001097.1 Chlorobium limicola DSM 245, complete genome',33
'CP000492.1 Chlorobium phaeobacteroides DSM 266, complete genome',32
'NZ_CP015081.1 Deinococcus radiodurans R1 chromosome 1, complete sequence',32
'NC_008751.1 Desulfovibrio vulgaris DP4, complete genome',31
'CP001110.1 Pelodictyon phaeoclathratiforme BU-1, complete genome',30
'AE000782.1 Archaeoglobus fulgidus DSM 4304, complete genome',28
'AP009380.1 Porphyromonas gingivalis ATCC 33277 DNA, complete genome',27
'NZ_FWDH01000003.1 Caldicellulosiruptor bescii strain MACB1021, whole genome shotgun sequence',26
'AE009441.1 Pyrobaculum aerophilum str. IM2, complete genome',26
'NC_010730.1 Sulfurihydrogenibium sp. YO3AOP1, complete genome',25
'CP000660.1 Pyrobaculum arsenaticum DSM 13514, complete genome',24
'BA000023.2 Sulfolobus tokodaii str. 7 DNA, complete genome',23
'CP000607.1 Chlorobium phaeovibrioides DSM 265, complete genome',23
'AE006470.1 Chlorobium tepidum TLS, complete genome',23
'CP001230.1 Persephonella marina EX-H1, complete genome',23
'AL954747.1 Nitrosomonas europaea ATCC 19718, complete genome',23
'CP001071.1 Akkermansia muciniphila ATCC BAA-835, complete genome',22
'NZ_KQ961402.1 Zymomonas mobilis strain ATCC 31823 Scaffold1, whole genome shotgun sequence',22
'CP001251.1 Dictyoglomus turgidum DSM 6724, complete genome',21
'CP000679.1 Caldicellulosiruptor saccharolyticus DSM 8903, complete genome',21
'BX571656.1 Wolinella succinogenes DSM 1740, complete genome',21
'CP000916.1 Thermotoga neapolitana DSM 4359, complete genome',20
'NC_009665.1 Shewanella baltica OS185, complete genome',18
'CP000924.1 Thermoanaerobacter pseudethanolicus ATCC 33223, complete genome',18
'NZ_KE136524.1 Enterococcus faecalis V583 acyDH-supercont2.1, whole genome shotgun sequence',18
'BA000001.2 Pyrococcus horikoshii OT3 DNA, complete genome',18
'CP000816.1 Ignicoccus hospitalis KIN4/I, complete genome',18
'CP000561.1 Pyrobaculum calidifontis JCM 11548, complete genome',17
'CP000609.1 Methanococcus maripaludis C5, complete genome',17
'CP000702.1 Thermotoga petrophila RKU-1, complete genome',17
'NZ_CH959311.1 Sulfitobacter sp. EE-36 scf_1099451318005, whole genome shotgun sequence',17
'NC_000909.1 Methanocaldococcus jannaschii DSM 2661, complete genome',15
'AE017221.1 Thermus thermophilus HB27, complete genome',15
'NZ_ABZS01000228.1 Sulfurihydrogenibium yellowstonense SS-5 gcontig_18, whole genome shotgun sequence',14
'AE009439.1 Methanopyrus kandleri AV19, complete genome',13
'CP001130.1 Hydrogenobaculum sp. Y04AAS1, complete genome',11
'BX950229.1 Methanococcus maripaludis strain S2, complete sequence',10
'CP000969.1 Thermotoga sp. RQ2, complete genome',6
'CP001941.1 Aciduliprofundum boonei T469, complete genome',6
'NC_005213.1 Nanoarchaeum equitans Kin4-M chromosome, complete genome',3
'AE009951.2 Fusobacterium nucleatum subsp. nucleatum ATCC 25586, complete genome',2
